stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,65.38,171.63,0,0,0,0,0,0,0,0,0
72hpf,16.05,3.21,9.63,2.14,25.67,0,0,0,6.42,1.07,7.49,25.67,3.21,35.3,1.07,2.14,1.07,3000.76,323.08,0,2.14,38.51,0,19.26,113.4,77.02,2.14,0
21Day,12.05,0,28.11,0,13.39,4.02,0,2.68,8.03,2.68,0,18.74,6.69,21.42,0,1.34,0,398.88,34.8,1.34,2.68,5.35,12.05,4.02,206.13,342.66,0,4.02
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.32,0,0,0,0,0,0.64,0,0,0
22Month,0,0,0,0,0,0,1.09,1.64,0,0,0,0,1.09,0.55,0,0,0,4.92,0,0,0,0,0,1.64,76.53,0,0,0
