stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,12.26,4.09,0,0,0,0,8.17,4.09,24.52,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,5.35,0,0,0,0,0,0,0,0,0,1.07,1.07,6.42,0,4.28,0,0,0,4.28,6.42,0,0,1.07,0,0,10.7,0,2.14,0,0,0
21Day,0,8.03,10.71,2.68,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,2.68,0,5.35,2.68,1.34,0,0,1.34,0,5.35,0,2.68,0,0,0
3Month,0.64,55.99,3.84,0,0.64,2.24,38.39,0,0,5.12,27.52,1.6,1.28,23.36,4.8,19.84,3.84,0.32,125.1,1.92,12.8,0.64,8,0.64,0,1.92,3.52,0.32,0,0,0.32,1.92,1.28
22Month,0.55,38.27,1.64,0,1.09,0,30.07,0.55,0,8.75,8.2,1.09,0,4.92,2.19,7.11,1.64,0,59.04,1.09,2.19,0.55,3.83,0,0,0,0,1.64,0.55,0.55,0,0,1.09
