stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0,2.24,0.32,0,0.64,0,1.6,0,0,0.64,0.32,0.32,0.96,2.24,0,0.32,0,0.32,0.32,5.44,0,0,0.32,0.64,0.64
22Month,0.55,1.09,1.64,0,0.55,6.01,2.73,27.33,2.19,0.55,4.92,0,0,3.28,6.01,2.19,0.55,0.55,1.09,0.55,0.55,1.09,0.55,0,0,1.09
