stage,Cardiomyocyte,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,8.17,0,32.69,4.09,0
72hpf,1.07,0,0,0,3.21,1.07,6.42,17.12,7.49,1.07,1.07
21Day,0,1.34,1.34,1.34,0,0,2.68,1.34,0,0,0
3Month,0,0,0,0.32,0,0,0.32,0,0,0,0
