stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0,150.84,1.07,1.07,3.21,0,7.49,0,0,7.49,5.35,0,0,0,2.14,0,0,0,1.07,0
21Day,1.34,0,0,0,0,0,0,0,0,18.74,0,1.34,17.4,0,1.34,0,5.35,0,1.34,1.34,0,0,0,0,1.34,0,0,2.68,0,0,0,0
3Month,0,0.32,0,0.96,0,0,0,0,0,10.56,0,0,33.91,0,0,0,0.32,0.64,0,0,0,0,0,0,0.32,0,0.32,0,0.96,0,0,0.32
22Month,0,1.09,2.19,4.37,0,0.55,7.11,2.73,1.64,512.76,0.55,0.55,385.39,0,0,1.09,5.47,0.55,8.75,1.09,0.55,0.55,0,0.55,0.55,1.64,0,1.64,2.73,0.55,0,1.09
