stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,3.21,5.35,0,428.99,0,0,0,0,14.98,6.42,0,1.07,17.12,0,5.35,0,0,2.14,0,0,0
21Day,4.02,2.68,0,2.68,4.02,0,0,0,0,0,0,1.34,0,0,1.34,6.69,4.02,2.68,651.87,0,0,8.03,0,4.02,6.69,0,0,13.39,0,0,0,1.34,1.34,0,0,0
3Month,0.32,4.48,0.32,4.48,0,0.96,1.6,2.88,0.64,3.52,0.32,8.96,1.92,0.32,4.48,43.19,1.28,8.96,62.39,11.84,0,3.52,0.32,0.32,0,0.64,0,2.24,7.04,0.32,0,0,0,6.08,2.88,2.24
22Month,0,14.76,0.55,8.2,0,1.09,0.55,1.64,0.55,4.92,3.28,40.45,3.83,0,2.19,12.57,0,8.75,105.5,0,1.64,2.19,0,0,0,0.55,0,0,10.39,0.55,0.55,0,1.64,0,0,1.64
