stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,24.52,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,7.49,1.07,0,0,0,0,0,0,1.07,0,0,20.33,4.28,4.28,0,0,0,0,27.81,13.91,0,1.07,0,5.35,0,0,2.14,1.07,0,0,0,0
21Day,6.69,1.34,1.34,49.53,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,36.14,8.03,13.39,0,0,2.68,0,21.42,5.35,1.34,2.68,0,2.68,1.34,0,1.34,1.34,0,0,0,2.68
3Month,0.32,2.56,0.32,27.84,0,0.32,1.92,8.32,0.32,23.04,4.48,0.32,11.2,2.24,9.92,9.6,3.2,0.96,0,0.64,1.92,0,0,2.88,2.24,0,0.96,0.96,4.48,0,0,0.32,3.84,2.24,2.56
22Month,0,2.73,0,10.93,0,1.09,1.09,16.95,1.09,163.45,4.37,2.19,20.23,0,4.92,13.67,6.01,0,6.56,0.55,0,0.55,0,3.28,3.83,0.55,0.55,0.55,0.55,0.55,0,0,0.55,0,3.28
