stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,0,4.09,0,0,0,0,0,0,0,0,0,4.09,8.17,0,4.09,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,34.23,0,1.07,0,7.49,0,0,0,0,0,5.35,0,2.14,3.21,1.07,3.21,1.07,0,0,26.74,18.19,1.07,0,2.14,0,0,0,0,0,0,0
21Day,18.74,0,10.71,0,28.11,10.71,0,0,1.34,0,210.15,0,2.68,5.35,12.05,6.69,1.34,0,0,20.08,16.06,0,0,5.35,9.37,1.34,1.34,1.34,0,0,2.68
3Month,0.96,0.64,8.64,0.32,0,0,0.32,1.92,9.92,5.76,16,4.48,0.64,1.92,8.96,2.56,0,1.28,0.32,5.44,0.96,2.56,1.28,0,0.64,49.59,0.32,0,0.96,396.1,16.96
22Month,0,0.55,0.55,0,0,0.55,0,0,10.39,0,4.92,3.83,0,0,9.29,1.09,0,1.09,0,2.19,0,1.64,0,0,0,9.29,0,0,0,0,1.09
