stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
21Day,0,0,0,0,1.34,0,0
3Month,0.32,0,0,0.32,0,4.8,0.32
22Month,0,0.55,4.37,1.09,0,0,0
