stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,44.95,0,4.09,0,0,0,0,102.16,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,0,0,0,0,0,0,0,0,0,0,64.19,3.21,1.07,0,0,0,0,40.65,7.49,3.21,0,0,0,6.42,0,0,0,0,1.07,0,0,0
21Day,1.34,0,52.2,4.02,1.34,0,0,1.34,0,0,0,0,1.34,56.22,1.34,4.02,0,2.68,0,0,0,37.48,6.69,2.68,1.34,0,1.34,2.68,0,0,1.34,1.34,0,0,0,1.34
3Month,0,0.64,41.27,117.74,0,2.24,0.32,10.24,1.6,0,24.32,8.96,0,447.61,13.12,3.2,2.88,6.4,1.28,0,0.64,380.1,0.96,0,0.96,1.6,0.64,3.2,30.08,0.64,0,0,0.32,1.28,59.19,5.12
22Month,0,1.09,18.59,37.72,0,0,0,12.03,0.55,0.55,36.08,2.19,0.55,458.1,2.73,0.55,1.09,2.73,0,3.28,1.64,54.12,0.55,0,1.09,0.55,0,2.19,7.65,1.09,0,0,0,0,0,1.09
