stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,1.07,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,0,10.7,3.21,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,1.34,0,9.37,0,1.34,0,0,1.34,0
3Month,0,0.64,0.96,0,2.88,0.64,0.32,1.28,0.32,0,1.28,0,1.28,0.64,0.32,0.32,0,0,0.32,3.2,0,0,0.32,0.32,0,0.32
22Month,0,1.09,0,0.55,1.09,2.73,0.55,9.29,0,1.09,0,0,0.55,0,2.19,0,1.64,0,0,1.64,0,0,0,0.55,0,0
