stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,5.35,0,1.07,0,0,0,6.42,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,25.43,4.02,2.68,1.34,1.34,0,1.34,1.34,8.03,1.34,2.68,17.4,4.02,8.03,0,0,0,5.35,0,0,1.34,0,0,1.34,0,1.34
3Month,0,0.32,0.32,3.52,0,0,0.96,1.6,0,1.92,1.28,0,2.88,0.32,1.28,0.32,0.96,0.64,0.32,0.32,0.64,0.32,0.32,0,0,0.32,0,0.32,1.6
22Month,0.55,1.09,0.55,3.83,0,0.55,1.09,2.73,0.55,8.75,2.19,0.55,14.21,0,1.09,5.47,1.09,0,0.55,0,0,0,0.55,0,0.55,0.55,0.55,1.09,5.47
