stage,Cardiomyocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0,0.32,0,0.32,0,0
22Month,0,0,1.09,0,0.55,0,0,0
