stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,32.69,0,0,0,298.31,2043.2,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,80.23,14.98,0,46,19.26,78.09,1.07,0,1.07,0,0,0,1.07,0,7.49,141.21,4.28,69.54,0,5.35,0,11257.41,1360.77,0,11.77,0,169.03,0,0,108.05,1.07,11.77,5.35,0,0,0
21Day,2.68,0,1.34,13.39,0,13.39,0,0,0,0,0,0,0,4.02,0,10.71,1.34,13.39,0,0,0,592.97,132.51,0,0,0,10.71,20.08,1.34,9.37,0,1.34,4.02,0,0,2.68
3Month,0.32,0,0,3.52,0,0,0,0.32,0,0,0.96,0.64,0,0.32,0,0.64,0.32,0.32,0.96,0,0.32,0.32,0.96,0.64,0,0,0.32,0,5.12,0,0,0,0,0.32,2.88,0.64
22Month,0,1.09,0,0,0,0,0,0,1.09,0.55,12.57,1.09,0.55,2.19,0,0,0.55,1.64,0,0,0,0.55,0,0.55,0,4.37,0,0.55,21.32,0,0,0,0,0,0,1.09
