stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,4.02,0,2.68,0,0,1.34,0,14.72,0,6.69,10.71,8.03,1.34,0,8.03,0,0,0,2.68,4.02,0,0,0,2.68,0,0,60.23
3Month,1.28,0.32,10.56,0,0.64,0.64,0.96,1.92,4.48,0.96,1.28,1.28,9.6,12.48,0.32,0,0.96,0.32,0,0.32,0.32,0,1.28,1.6,0.32,0,0,1.6,0.64,105.26
22Month,2.73,1.09,13.67,0,0,1.09,0,2.73,10.93,0,0.55,0.55,7.11,8.2,2.19,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,7.65
