stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,8.17,0,0,0,0,0,12.26,8.17,40.86,0,249.27,0,0,0,0,0,0
72hpf,3.21,0,2.14,0,0,0,0,0,2.14,0,4.28,7.49,17.12,0,3.21,0,1.07,0,0
21Day,5.35,0,6.69,6.69,4.02,1.34,2.68,0,0,0,12.05,1.34,16.06,0,8.03,0,0,1.34,0
3Month,0,0,0,0,0,0.96,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0
22Month,0,0,0,0,0,5.47,0,1.09,0,0,0.55,0.55,0,0.55,0,0,0,0,0.55
