stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,20.33,5.35,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,2.68,0,1.34,2.68,2.68,0,1.34,2.68,2.68,0,0,0,0
3Month,0.64,0.96,0,0,0,0.32,0,1.92,0,0,0.64,0,2.24,0.64,0.32,0.32,0,0,1.92,0.32,0.32,5.44
22Month,0.55,0.55,0,0,0.55,2.19,0.55,3.83,0.55,0,1.09,0,4.37,0.55,0,0,0,0,0,0,0,1.09
