stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,2.14,0,1.07,0,0,128.37,2.14,0,1.07,2.14,0,0,1.07,0,2.14,0
21Day,2.68,0,0,10.71,2.68,0,0,0,0,0,1.34,0,0,62.91,4.02,0,4.02,2.68,2.68,0,1.34,1.34,0,1.34
3Month,0,0.32,0.32,1.28,0,0,0,1.6,0,0,0.32,0.64,0.32,1.6,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0.55,0,1.09,0,0.55,0.55,3.28,0,0.55,0,0,0,10.93,0,0.55,0,0,0,0,0,0,0,0
