stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,2.24,3.84,0.32,0.64,1.28,7.04,0.64,0,1.92,1.28,0.32,0.64,1.28,0.64,0,0.64,0.32,0.32,14.72,0,0,4.48,0.32
22Month,0.55,1.09,0,0,0.55,18.04,0.55,0.55,3.83,0,0,0.55,1.09,0,1.09,1.09,0,0,1.09,0,0.55,0,0
