stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,10.7,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.56,1.6,23.36,1.6,0,2.24,7.36,0,36.15,7.04,0.32,14.72,2.24,7.68,3.84,9.28,1.28,0,1.6,1.6,1.28,0.64,1.6,0.32,0,0.64,3.2,11.2,0,0.32,0,1.28,156.14,7.36
22Month,0,8.2,0.55,21.87,0.55,4.37,3.28,18.04,3.83,141.58,3.28,2.73,13.12,2.19,4.37,14.21,18.04,0,7.65,2.19,0,1.09,0.55,0.55,0,0.55,0,2.19,4.92,2.19,1.09,0.55,1.64,0.55,5.47
