stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,16.35,0,0,0,0,4.09,65.38,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,6.42,0,0,0,0,0,0,0,0,0,0,0,4.28,7.49,0,10.7,0,1.07,0,0,38.51,22.47,0,0,0,16.05,0,0,1.07,0,0,0
21Day,1.34,0,2.68,12.05,0,1.34,0,0,0,0,0,13.39,0,8.03,0,0,6.69,1.34,12.05,0,0,0,0,5.35,5.35,1.34,1.34,0,5.35,2.68,0,0,0,0,1.34
3Month,0.96,6.08,4.16,47.35,0.64,0,3.52,0.64,5.44,10.88,0.32,1328.11,10.56,0.64,26.56,6.08,14.08,7.04,18.56,4.48,2.56,4.16,4.8,0.64,0.64,3.84,3.2,0,1.28,18.24,12.48,1.92,6.08,9.92,10.56
22Month,0,4.92,1.64,9.29,1.09,0,1.64,0,2.19,6.56,4.92,585.47,4.92,3.28,6.56,0.55,2.73,4.92,16.4,0,13.67,1.09,0.55,1.09,1.09,3.83,1.09,0.55,1.09,1.64,5.47,0,0.55,0,3.28
