stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,17.12,6.42,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,4.02,5.35,74.96,5.35,0,1.34,1.34,0,1.34,0,0,0
3Month,0,0.32,1.6,0,0.32,0,4.8,0.32,0,0.96,0.32,0.96,0.32,0.32,0.96,0,0.32,0,0.96,0.96,0,0.32,0.32,0.64
22Month,0.55,0.55,0,0.55,0,0.55,19.68,0.55,0,1.09,0.55,0,1.09,0,0.55,0,0,0,0,0.55,0,0,0,0
