stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,1.34,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0,0.64,0.64,0.32,0.32,0.32,0.32,0,0,0.64,0.32,0.64
22Month,0.55,0,1.09,0,0,0,0,0,0,0,0,0
