stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,24.52,4.09,0,0,0,0,44.95,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,3.21,0,9.63,2.14,0,0,0,0,0,0,0,0,0,2.14,12.84,0,0,0,0,0,7.49,9.63,0,0,4.28,0,0,0,1.07,0,0,0,0,0
21Day,14.72,2.68,1.34,113.78,2.68,10.71,0,0,2.68,0,0,0,12.05,1.34,4.02,52.2,12.05,66.93,4.02,0,282.43,17.4,8.03,0,0,37.48,6.69,0,0,0,2.68,1.34,1.34,0,12.05
3Month,0,3.52,1.28,10.24,0,0,0,0.32,4.48,0,12.8,57.91,0,8,0.96,5.12,4.8,3.52,1.92,0.64,864.5,0.96,0,3.2,0.32,0.64,0.64,0.32,2.56,0,0,0,0,1.6,1.92
22Month,0,16.4,1.09,17.49,0,0,0.55,1.09,8.2,1.09,29.52,45.37,0.55,8.75,0,1.09,6.01,7.65,0.55,0,843.49,0,0,2.73,0,0,0,0,1.64,0,0,0,0,0,3.83
