stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,0,0
72hpf,1.07,6.42,1.07,1.07,0,0,0,0,0,0,16.05,1.07,4.28,0,2.14,1.07,0,24.61,0,0,0
21Day,1.34,9.37,0,0,1.34,0,0,0,0,0,4.02,0,9.37,1.34,4.02,1.34,0,4.02,0,0,0
3Month,0,1.6,0,0,0,0.32,0.32,11.52,0.32,0.32,7.04,0.32,1.92,0,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0,0,0,0,0,7.65,0,0.55,0.55,0,0.55,0,0,0,1.09,0,0,0,1.09
