stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,1.6,3.2,0.32,0,0,0.64,1.6,0,110.06,1.6,0,2.88,2.56,1.6,1.92,1.6,0,0.96,0.32,0,0,0.64,0,0.32,0.96,0,0,1.28,0.32,0.64
22Month,0.55,5.47,5.47,13.67,0,1.09,1.09,4.37,8.75,3.83,1506.58,4.37,2.73,13.67,0.55,3.28,8.2,6.56,22.41,4.92,0.55,0.55,1.09,2.73,6.56,1.64,0,1.09,1.64,0.55,0,5.47
