stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,2.68,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,13.39
3Month,2.24,0.64,0.32,4.8,0.32,0,0.64,0.32,0,5.44,1.6,0.64,2.88,0.96,0.96,0.96,0.64,0.32,0.32,0.32,0,0.64,0.32,1.92,1.92,0,0.32,0.96,181.41
22Month,0,1.09,0,0.55,0,0,0,2.73,1.09,10.39,0.55,0,1.09,0.55,1.09,0.55,0,0.55,0,0,0.55,0,0,1.09,2.73,0,0,0,12.57
