stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,12.26,0,0,0,0,4.09,0,0,16.35,0,4.09,281.96,0,0,4.09,0,0
72hpf,1.07,2.14,0,0,0,0,0,1.07,0,1.07,0,8.56,13.91,0,1.07,0,0,0
21Day,2.68,0,2.68,1.34,1.34,0,0,0,2.68,4.02,1.34,2.68,1.34,0,2.68,0,0,1.34
3Month,0,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0,4.8,0,0,0.32,0
