stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,20.43,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,10.24,0.96,0.64,0.64,4.8,0.64,0.32,0.96,0.32,1.28,0.32,0.96,0,0.64,0,0.96,0.32,6.08,0.32,4.48,0.96
22Month,0,1.09,0.55,0,1.64,15.85,14.76,0,0,2.19,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0
