stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,0,8.56,0
21Day,0,0,0,0,0,1.34,2.68,0,0,0,0,5.35,0
3Month,0,0.32,1.92,0,0.64,1.6,1.28,0.32,0.32,0,1.28,0,0.32
22Month,0,0,0.55,0.55,0,4.37,2.19,0.55,0,0,0,0,0
