stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,1.07,1.07,0
21Day,0,1.34,0,0,0,0,0
3Month,0,0,0,0,0,0,0.96
22Month,0.55,0,0,0,0,0,2.19
