stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,85.81,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,4.28,0,9.63,4.28,16.05,0,0,0,3.21,0,1.07,0,0,0,0,5.35,67.4,3.21,20.33,0,2.14,1.07,0,2267.96,53.49,16.05,120.89,0,34.23,0,0,1.07,34.23,2.14,0,2.14,0,0,0
21Day,20.08,4.02,2.68,57.56,6.69,42.83,4.02,0,0,0,0,0,1.34,0,5.35,8.03,8.03,54.88,10.71,66.93,0,0,4.02,0,1646.4,29.45,5.35,89.68,0,17.4,40.16,0,2.68,44.17,9.37,21.42,4.02,0,1.34,5.35
3Month,0.96,4.8,0.32,17.6,3.84,0,0,0.32,1.92,3.2,0,0,15.36,3.84,0.96,6.4,2.24,21.12,2.56,36.15,2.24,0,0.32,1.92,34.55,2.24,44.47,6.08,0,0.96,0.32,0.32,80.63,2.24,2.88,0.32,0.64,2.88,6.4,3.52
22Month,0,4.37,0,17.49,4.37,0,0,0,1.64,3.28,3.28,0,68.88,1.09,0.55,8.2,0,2.19,4.92,21.87,0,2.19,0.55,0,66.69,0.55,31.71,18.04,0.55,0.55,1.09,0,105.5,13.12,1.09,0,3.83,0.55,0.55,0.55
