stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,28.6,0,0,0,0,0,0,0,0,8.17,24.52,122.59,0,0,0,20.43,776.42,0,0,20.43,0,0,0,0,8.17,0,0,0
72hpf,16.05,2.14,11.77,1.07,3.21,1.07,0,0,1.07,0,9.63,13.91,1.07,54.56,5.35,1.07,0,66.33,256.75,2.14,0,24.61,2.14,0,12.84,1.07,0,0,0,0
21Day,17.4,0,14.72,0,4.02,4.02,1.34,0,2.68,1.34,0,5.35,1.34,44.17,0,4.02,1.34,17.4,54.88,0,2.68,10.71,1.34,1.34,8.03,0,0,0,0,4.02
3Month,0,0.32,0.64,0,0,0,0.32,1.28,0.32,0.64,0,0.32,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0.32,6.72,0,0,0.32,0.32,0.32,0
22Month,0,0,0.55,0,0,0,0,2.19,0,1.64,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
