stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,8.17,0,4.09,12.26,65.38,8.17,0
72hpf,1.07,1.07,0,2.14,0,1.07,0,0,0
21Day,0,0,0,0,0,1.34,0,0,1.34
