stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,16.35,0,0
72hpf,1.07,0,0,0,0,27.81,4.28,3.21,1.07
21Day,1.34,1.34,2.68,0,2.68,17.4,1.34,0,0
22Month,0,0,0,1.09,0.55,0,0,0,0
