stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.21,0,0,0,0
21Day,6.69,1.34,36.14,1.34,21.42,6.69,1.34,12.05,4.02,9.37,8.03,8.03,37.48,8.03,53.54,8.03,52.2,18.74,1.34,20.08,3502.94,4.02,5.35,17.4,9.37
