stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,79.16,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,4.28,2.14,0,0,1.07,0,0
21Day,12.05,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0
3Month,0,0,1.28,0.32,0.64,0.32,0,2.24,0,0,1.6,0.32,0,0.96,0.96,0.32,0,0,0,0.64,1.28,0,3.52,0.32
22Month,0,0.55,1.09,0,0.55,1.09,1.09,28.97,0.55,0.55,5.47,0,0,1.09,3.83,0,1.09,0,0,0,0.55,0,0,0.55
