stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,175.72,384.12,0,196.15,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,36.78,126.68,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,111.26,0,19.26,2.14,8.56,0,0,0,0,0,0,0,0,0,0,19.26,1.07,211.82,0,0,71.68,29.95,18.19,0,0,225.73,0,0,0,0,0,0,0,0
21Day,4.02,70.94,0,41.49,0,5.35,0,1.34,0,0,0,0,2.68,0,0,0,26.77,2.68,137.87,0,0,28.11,8.03,9.37,0,0,12.05,8.03,0,0,0,2.68,0,0,5.35
3Month,0,62.39,0,19.2,0,0,0.32,0,0.64,0.32,0.96,0,4.16,1.28,1.92,4.16,6.72,1.28,17.92,4.16,0,14.72,0,0.64,0.32,0,1.92,0.64,2.24,0.32,0.64,0,2.24,1.6,4.16
22Month,0.55,175.48,1.09,15.85,0,0,0,0,0,0,1.64,1.64,23.51,1.09,1.64,1.09,6.01,2.19,15.31,0.55,0.55,9.84,0,0.55,0.55,0.55,0,0,1.09,10.39,1.64,0,0,0,2.73
