stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,32.69,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,7.49,0,434.34,13.91,0,0,0,0,0,0,0,0,0,0,3.21,119.82,1.07,4.28,0,3.21,0,0,58.84,10.7,0,0,0,18.19,0,0,1.07,0,0,0,0,0,0
21Day,13.39,2.68,1.34,2147.01,92.36,0,9.37,0,0,30.79,0,6.69,2.68,21.42,4.02,18.74,542.11,14.72,68.27,0,0,10.71,0,68.27,21.42,0,0,0,21.42,25.43,1.34,2.68,6.69,14.72,1.34,0,0,9.37
3Month,0,7.04,5.44,3419.3,0,2.24,0.96,0.32,16,32.63,0.32,84.47,32.95,4.16,35.51,7.36,32.31,15.36,35.83,5.12,0.32,9.28,4.48,2.56,0.96,3.52,3.52,0,0.32,11.52,38.07,2.24,0.96,0,0,10.88,24.32,18.88
22Month,6.01,11.48,1.64,740.72,0,4.92,0,0,15.31,19.13,1.09,61.23,10.39,1.64,10.93,7.11,2.19,13.12,13.12,0,12.57,1.64,0,0,0,1.64,3.83,1.09,0.55,4.92,19.68,0,0.55,0,0.55,0,0,8.2
