stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_cell,Spermatocyte,T_cell
21Day,0,0,1.34,0,0,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0.32,2.24,0,3.84,0.96,9.6,9.28,0.32,1.92,0.96,0.96,0,0.32,0.64,0.32,0.32,0.32,2.56
22Month,0,0,0,0.55,0.55,0.55,2.19,0,0,0,0,0,0.55,0,0.55,0,0,0,0.55
