stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0
21Day,5.35,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0
3Month,0.64,0.32,0.96,0.64,0.32,0.32,0.32,0,0,0.32,0,0,0.32,0.32
22Month,0,0,3.83,0.55,0,0,0,0,0,0,0,0,0,0
