stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,3.21,0,23.54,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,4.02,1.34,1.34,0,0,0,0,0,2.68,2.68,6.69,5.35,5.35,2.68,12.05,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0,0,13.44,0.32,0,0.32,10.24,0.64,3.52,0.64,0.96,8,4.16,5.76,1.28,0.64,1.92,0.32,1.6,0.32,0,1.6,0,0,0.64,0.64,9.6
22Month,0,0.55,3.28,0,0,0,4.37,1.64,3.28,0,1.09,9.29,0,3.28,0.55,0.55,0,0,0,0,0,1.09,0.55,0.55,0.55,0,2.73
