stage,Endothelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Neural_progenitor_cell
24hpf,0,0,0,0,8.17
3Month,0,0.32,0,0.32,0
22Month,0.55,0,0.55,0,0
