stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,257.44,0,0,0,0,0,4.09,24.52,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,1.07,1.07,0,4.28,0,0,1.07,0,0,0,24.61,0,0,11.77,12.84,1.07,0,0,0,0,80.23,12.84,3.21,1.07,0,4.28,0,0,0,2.14,0,1.07,0,0,0,0
21Day,4.02,0,0,16.06,14.72,0,18.74,0,0,24.09,0,1.34,8.03,172.67,2.68,0,6.69,46.85,10.71,0,0,0,0,78.97,10.71,0,2.68,0,4.02,4.02,0,0,1.34,0,4.02,0,0,0,133.85
3Month,0.32,4.16,3.2,53.11,0,6.4,6.4,0.32,2.88,196.13,0,107.18,157.1,56.63,21.12,7.68,8.64,201.89,15.68,4.8,0.96,3.2,5.12,4.16,0.32,4.8,0.96,0,0.32,9.6,0.64,35.19,0,0.32,0,0,3.84,9.6,706.77
22Month,1.09,6.01,1.64,36.08,0,2.19,14.21,0,5.47,321.98,6.01,126.82,114.8,104.41,13.67,2.19,1.64,426.94,15.85,1.64,4.92,1.09,0,4.92,0.55,6.01,0.55,0.55,1.09,3.83,0,45.37,2.73,2.73,0,1.09,1.09,0,337.83
