stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,3.21,0,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,6.69,0,2.68,9.37,0,0,0,0
3Month,0.64,2.24,0,1.28,1.28,0.32,0.32,0.32,0.96,7.36,2.56,0,0,0.64,0.32,0.32,0.32
22Month,0,0,0,0.55,4.92,0,0.55,0,0,9.84,0,0,0,0,0,0,0
