stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,1.07,0,0,1.07,26.74,4.28,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,34.8,1.34,0,0,0,0,0,1.34,4.02,0,5.35,56.22,0,2.68,0,0,0,9.37,2.68,0,0,0,4.02,0,0,2.68,0,0,0
3Month,1.6,2.88,151.34,0,0.32,6.08,0,0,6.72,3.84,0.32,4.48,14.72,4.8,1.6,2.24,0.32,0.64,13.12,1.28,0,0.32,0.32,0.32,0.64,2.24,0.32,0,0.32,1.28,1.6
22Month,1.09,2.73,69.43,0,0,7.65,2.19,0.55,14.76,1.64,0.55,3.28,2.73,2.19,1.09,2.73,0,1.64,1.09,1.64,0,1.64,0.55,0,0,0,0,0,0,0,1.09
