stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.56,5.35,0,1.07,0,0,0,8.56,5.35,0,0,0,0,0,0,0,0,0,0
21Day,0,10.71,4.02,1.34,0,0,0,0,0,0,0,21.42,0,0,0,1.34,0,0,0,5.35,5.35,0,0,0,0,0,0,0,0,0,0
3Month,1.92,30.08,15.36,0,0.64,50.23,3.84,0,15.36,6.08,0.64,821.63,1.6,5.44,2.88,6.08,2.56,0,1.6,58.23,0.64,0,1.28,0.96,0,4.8,6.72,0.32,1.6,24,2.88
22Month,1.09,25.69,10.93,0,0,15.85,12.57,6.01,45.37,0,0.55,781.72,0.55,2.19,12.03,4.37,0,1.64,1.64,12.03,0.55,0.55,1.09,1.09,0.55,0.55,0.55,1.09,1.09,0,0.55
