stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,118.51,4.09,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,6.42,2.14,0,0,0,0,0,0,0,0,1.07,1.07,4.28,1.07,0,0,0,0,11.77,14.98,0,0,0,0,1.07,0,0,5.35,0,0,0,0,0
21Day,6.69,0,2.68,4.02,6.69,0,0,0,0,0,0,0,0,1.34,4.02,8.03,4.02,0,0,2.68,0,6.69,1.34,0,1.34,0,5.35,4.02,0,0,257,2.68,0,0,0,0
3Month,0,0,3.84,0,0,0,0.32,0.96,0,8.64,0.32,0.32,1.28,0,1.28,2.88,1.28,0.32,0,0.96,0.32,0.96,0.32,0,0,0,0,0.96,7.68,0,10.56,0,1.92,1.28,15.36,0.32
22Month,0.55,3.28,6.56,0,0,1.09,0.55,8.2,1.09,42.09,4.37,1.64,10.93,0,2.19,39.36,4.37,0,1.64,0.55,0,0,0.55,1.09,0,0.55,0,0,3.83,2.73,941.34,0,0,0,0,2.19
