stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,4.09,65.38,0,0,0,0,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,79.16,0,0,0,0,0,0,0,0,0,0,3.21,108.05,1.07,28.88,0,0,2.14,0,19.26,2.14,0,0,0,16.05,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,0,9.37,0,168.66,1.34,6.69,0,0,1.34,0,1.34,34.8,1.34,0,9.37,45.51,20.08,88.34,0,0,32.12,0,9.37,4.02,0,0,0,44.17,9.37,0,1.34,0,1.34,0,0,0,0,2.68
3Month,0.32,27.2,0.32,286.67,0,0,0.96,3.52,17.28,0.64,25.28,326.03,0.32,9.6,1.92,232.28,101.1,96.94,25.6,0,12.16,1.6,0.64,0.64,0.96,0.64,0,0.96,6.08,0.64,11.84,0.32,0,0,0.32,78.39,6.08,4.48
22Month,0.55,9.84,1.09,86.37,0,0,1.64,1.64,10.93,26.24,54.67,122.45,0.55,4.92,1.64,41.55,180.94,107.14,2.73,2.73,8.75,0,0,0,1.09,0,0.55,0.55,0.55,0,12.57,0,0.55,0,0,16.4,0,2.19
