stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,3.21,1.07,201.12,32.09,2.14,6.42,3.21,1.07,0
21Day,1.34,1.34,0,2.68,1.34,0,1.34,57.56,5.35,0,2.68,0,1.34,1.34
