stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,8.17,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,12.05,0,1.34,0,0,1.34,0,1.34,1.34,0,0,4.02,8.03,1.34,1.34,0,0,0,4.02,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0.32,4.16,27.52,0.64,0,0.32,12.8,23.36,0,6.4,17.6,0.32,8.64,8.32,2.56,3.84,1.92,0,7.04,8.32,0.64,0,0.64,0.32,0,0,0.32,2.88,0.32,7.04,1.92
22Month,0.55,2.73,3.83,14.21,0,0,1.09,4.92,51.93,0,39.36,6.01,0.55,3.83,0.55,1.64,2.73,4.92,0.55,4.92,0.55,0,0,0,2.19,1.09,0,0,1.09,0,0,1.09
