stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,13.91,3.21,0,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,2.68,1.34,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.64,6.4,0,0.64,0.32,1.6,4.8,5.44,4.48,0.96,4.48,0,0.64,4.48,2.24,0,0.64,0.96,0.32,0.64,0.32,0,0.64,5.12,0,0,1.6,31.67,0.96
22Month,0,0.55,2.19,0,0.55,0,0,10.93,4.92,2.73,0,0,0,0,2.73,2.19,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.09
