stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,265.62,0,16.35,0,0,0,0,0,4.09,0,0,0,4.09,24.52,0,0,8.17,1279.04,0,4.09,0,0,4.09,0,0,0
72hpf,234.28,0,0,0,0,0,0,0,0,0,0,14.98,0,2.14,1.07,0,25.67,64.19,1.07,1.07,0,0,80.23,0,3.21,0
21Day,149.92,0,5.35,1.34,4.02,4.02,0,0,0,0,0,4.02,1.34,6.69,0,0,9.37,28.11,0,1.34,4.02,0,18.74,2.68,0,0
3Month,1.28,0,2.24,0,0,0,0.32,0.32,0.32,0,0,0.64,0.32,0.32,0,2.24,0.32,0.32,0,0,0,6.08,0.64,0,0.32,4.16
22Month,1.09,0.55,3.83,0,0,0,0,0,6.56,0.55,1.64,0.55,0,2.19,0.55,0,0,0,0,0,0,3.83,0.55,0,0,0
