stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,12.84,6.42,0,1.07,0,0,1.07,0,0,0,0
21Day,2.68,0,0,1.34,0,2.68,6.69,0,0,0,0,0,1.34,0,0,2.68,2.68,8.03,0,0,0,18.74,6.69,0,8.03,1.34,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,9.92,0,0,0.32,0.64,0.64,0,17.92,1.92,0.64,0.32,0.64,2.24,2.88,4.8,0.64,0.32,0.32,1.6,0,0.96,0,0.64,17.6,0,0.32,0.64,1.92,4.8
22Month,0,0,0,1.09,0,0,0,0,2.73,1.64,16.95,0.55,1.64,0.55,0,0,2.19,1.09,0.55,0,0,0.55,0,0.55,0.55,0,6.56,0.55,0,0,0,0.55
