stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,28.6,0,0,0,0,8.17,126.68,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,3.21,0,2.14,0,0,0,0,0,0,0,0,1.07,0,7.49,3.21,1.07,17.12,0,0,0,0,36.37,17.12,0,0,0,5.35,0,0,1.07,1.07,0,0,0,0
21Day,2.68,1.34,16.06,1.34,4.02,0,16.06,0,0,1.34,0,1.34,0,9.37,0,0,0,2.68,25.43,0,0,1.34,0,12.05,16.06,1.34,0,0,5.35,4.02,0,4.02,0,0,0,0,1.34
3Month,0,1.92,13.76,0.32,0,0,0.64,0.32,0.96,1.6,0.32,39.99,2.88,1.6,1.28,3.2,4.8,2.88,16.32,5.12,0.64,1.6,0.96,1.28,0,1.92,0,0,0.64,1.6,8,0.32,0,0.64,6.08,0.96,5.44
22Month,0,3.83,4.92,0.55,0,0.55,1.09,0,0,2.73,2.19,39.91,0.55,2.73,1.64,0.55,0,3.83,7.11,0,0.55,0,0,1.64,0,1.09,0.55,0.55,0,0.55,0.55,0.55,0,0.55,2.73,0,1.09
