stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,61.3,0,0,0,0,143.02,0,0,0,8.17,57.21,4.09,4.09,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,17.12,5.35,0,0,0,0,0,0,0,7.49,50.28,0,1.07,0,6.42,10.7,0,5.35,2.14,0,0,0,0,0
21Day,2.68,0,123.15,4.02,4.02,0,1.34,0,2.68,1.34,0,0,82.99,5.35,5.35,0,0,1.34,0,2.68,2.68,1.34,2.68,0,0,4.02
3Month,0,0.32,8,0.32,0,0.32,0,0,1.6,0.32,0,0,1.28,0,0.32,0,0,0.32,0,0,0.32,0.96,0,0.32,0.64,0
22Month,0.55,0,7.65,0,0,1.09,0,0,7.65,0,2.19,0,1.09,0.55,0.55,0.55,0,0,0.55,0,1.09,1.64,0,0,0,0
