stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02
3Month,7.04,8,0,0.32,0.32,0.32,1.92,0,12.8,1.28,0.64,1.28,0.32,8.32,2.24,10.88,2.88,0,0.32,0.64,0,0.32,0,0,0.96,1.28,0,4.48,6.08,5.76
22Month,18.04,10.39,0,1.64,0,0,4.37,1.09,55.21,0,1.64,1.64,0,2.19,2.19,39.36,0,0.55,0.55,0,0.55,1.09,0.55,1.09,0,0,0.55,1.09,0,2.19
