stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,0,0,0,145.49,10.7,0,4.28,0,1.07,0,198.98,44.93,0,0,0,0
21Day,9.37,1.34,0,12.05,2.68,17.4,0,1.34,1.34,1.34,0,1.34,2.68,0,0,4.02,4.02,13.39,0,0,1.34,28.11,10.71,1.34,16.06,6.69,1.34,1.34,512.66,321.25,1.34,0,0,1.34
3Month,0,0.64,0.32,2.24,0,0,0.32,0,0,0.64,0,3.2,0.64,0,1.92,0.64,2.24,2.56,0.64,0,0,0.64,0.32,0,0,0.32,14.72,0.32,7.04,0,0,0.32,0.64,0.64
22Month,0,1.09,0,1.64,0,0,0,0,1.09,4.37,0.55,36.63,0.55,1.09,3.28,0.55,4.37,4.92,0,0.55,0,0,0,0,0,0,22.96,2.19,288.63,0,0,0,0.55,0.55
