stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,44.95,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,4.28,1.07,1.07,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,1.34,0,0,0,0,0,0,0
3Month,0.64,0.32,10.88,0,0.32,0.64,1.6,6.4,2.88,0.96,6.08,0.96,1.6,2.24,2.56,0.32,0.64,0.64,0,0.32,0,0.64,25.28,0,0.96,5.12,1.6
22Month,0,0,0.55,0.55,0,0.55,1.64,15.85,2.19,0.55,5.47,0,0.55,2.19,1.09,0,0,0,0,0,0,0,0,0,0,0,0
