stage,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0
3Month,0.32,0.64,0.32,0.32,0.32,6.72,0,0.32,29.44
