stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,12.26,4.09,0,0,0,0,4.09,0,0,0,0,0,12.26,4.09,28.6,0,0,0,0,12.26,167.54,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,3.21,1.07,0,0,0,0,0,0,1.07,0,1.07,9.63,0,4.28,0,0,0,0,14.98,8.56,1.07,3.21,0,0,2.14,0,1.07,0,0
21Day,0,0,0,16.06,0,0,0,0,0,0,0,0,4.02,4.02,2.68,8.03,2.68,1.34,0,0,0,0,8.03,4.02,0,2.68,1.34,0,2.68,0,0,0,2.68
3Month,0,0,0.32,6.08,0,0,0,0.64,0,0,25.6,3.52,0,0.64,1.28,0.64,1.92,0.64,0.32,0,0.32,0.64,1.6,0,0,0,0.64,16,0,0,0,2.24,2.56
22Month,0,1.09,0,2.19,0,0,0.55,0.55,1.09,0,7.11,1.09,0.55,3.83,0,0,5.47,0,0,0.55,0,0,0.55,0,0,0,0,2.73,0,0.55,0,0,1.09
