stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,18.19,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,1.07,0,8.56,14.98,1.07,0,4.28,1.07,0,1.07,0,0,0,0,0
21Day,4.02,0,1.34,2.68,10.71,0,0,0,0,0,0,0,0,1.34,1.34,1.34,2.68,0,0,9.37,1.34,2.68,2.68,0,0,4.02,0,2.68,5.35,0,0,0
3Month,3.52,1.6,0,5.76,0.96,0,1.28,0.64,0,6.08,0.96,0,1.92,0.32,0.96,0.32,2.24,0.96,0.64,0.64,0,2.56,2.56,0.64,0,10.88,0,0,0,0.96,2.56,0.64
22Month,0.55,1.09,0.55,6.56,2.73,1.09,0,3.83,6.01,33.89,2.19,0.55,3.28,0,0.55,1.09,5.47,2.19,0,1.09,0,7.11,3.28,0,0,19.13,0.55,0,0,0.55,0,1.09
