stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,8.17,0,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,0,0,0,0,0,0,3.21,0,14.98,0,0,0,5.35,2.14,0,0,4.28,1.07,0,0,0,0,0
21Day,1.34,1.34,10.71,1.34,1.34,0,0,0,0,21.42,0,6.69,0,5.35,0,1.34,0,0,0,1.34,0,1.34,0,0,0,1.34
3Month,0,2.56,4.48,0,0,0.32,0,0.64,0,0.96,1.28,6.72,0,0.32,0.32,0,0,0.64,0,1.92,3.2,0,0.32,14.4,0.96,0.64
22Month,0,0.55,1.09,0.55,0,0.55,0,6.01,0.55,0.55,1.64,1.09,0.55,1.09,0,0,0,0,4.37,0,1.09,0,0,1.09,0,0
