stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,4.09,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,1.07,1.07,1.07,2.14,2.14,1.07,1.07
21Day,1.34,1.34,0,0,0,0,2.68,0,1.34,0,0
